logged_at,season,jornada,partido,fecha,home,away,mercado,ambito,linea,prob,seleccion
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,sot,Total,9.5,0.3186,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,booking_pts,Total,30.5,0.5616,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,booking_pts,Total,40.5,0.4007,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,booking_pts,Total,50.5,0.2664,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,1X2,Total,,0.5447,1
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,Goles,Total,2.5,0.4598,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Total,7.5,0.6488,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Total,8.5,0.5261,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Total,9.5,0.4113,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Total,10.5,0.2979,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Total,11.5,0.2035,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Local,3.5,0.6753,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Local,4.5,0.5158,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Local,5.5,0.3723,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Visitante,3.5,0.5131,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Visitante,4.5,0.3498,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Visitante,5.5,0.2262,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,yellows,Total,2.5,0.7866,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,yellows,Total,3.5,0.6107,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,yellows,Total,4.5,0.4276,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,yellows,Total,5.5,0.271,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,yellows,Total,6.5,0.1566,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,yellows,Local,1.5,0.5868,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,yellows,Local,2.5,0.2939,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,yellows,Visitante,1.5,0.7303,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,yellows,Visitante,2.5,0.446,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,fouls,Total,19.5,0.9603,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,fouls,Total,21.5,0.9096,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,fouls,Total,23.5,0.8164,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,fouls,Total,25.5,0.6905,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,shots,Total,20.5,0.7419,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,shots,Total,22.5,0.6086,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,shots,Total,24.5,0.4633,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,shots,Total,26.5,0.3231,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,shots,Local,9.5,0.8568,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,shots,Local,11.5,0.7177,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,shots,Local,13.5,0.5523,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,shots,Visitante,9.5,0.4856,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,shots,Visitante,11.5,0.3003,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,shots,Visitante,13.5,0.1677,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,sot,Total,6.5,0.7614,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,sot,Total,7.5,0.639,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,sot,Total,8.5,0.5058,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,sot,Total,9.5,0.3778,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,booking_pts,Total,30.5,0.6913,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,booking_pts,Total,40.5,0.535,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,booking_pts,Total,50.5,0.3869,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,1X2,Total,,0.6232,1
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,Goles,Total,2.5,0.5103,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,corners,Total,7.5,0.7321,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,corners,Total,8.5,0.6205,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,corners,Total,9.5,0.5007,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,corners,Total,10.5,0.381,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,corners,Total,11.5,0.2753,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,corners,Local,3.5,0.7868,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,corners,Local,4.5,0.6501,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,corners,Local,5.5,0.5092,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,corners,Visitante,3.5,0.499,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,corners,Visitante,4.5,0.3368,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,corners,Visitante,5.5,0.2157,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,yellows,Total,2.5,0.6855,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,yellows,Total,3.5,0.4829,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,yellows,Total,4.5,0.3026,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,yellows,Total,5.5,0.1704,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,yellows,Total,6.5,0.0871,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,yellows,Local,1.5,0.463,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,yellows,Local,2.5,0.1945,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,yellows,Visitante,1.5,0.6458,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,yellows,Visitante,2.5,0.3508,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,fouls,Total,19.5,0.798,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,fouls,Total,21.5,0.6524,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,fouls,Total,23.5,0.4799,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,fouls,Total,25.5,0.3185,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,shots,Total,20.5,0.7575,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,shots,Total,22.5,0.628,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,shots,Total,24.5,0.483,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,shots,Total,26.5,0.3405,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,shots,Local,9.5,0.8428,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,shots,Local,11.5,0.6968,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,shots,Local,13.5,0.5279,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,shots,Visitante,9.5,0.5466,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,shots,Visitante,11.5,0.3545,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,shots,Visitante,13.5,0.2073,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,sot,Total,6.5,0.8227,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,sot,Total,7.5,0.7154,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,sot,Total,8.5,0.5886,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,sot,Total,9.5,0.4592,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,booking_pts,Total,30.5,0.5881,OVER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,booking_pts,Total,40.5,0.4265,UNDER
2026-07-23T12:23:58,2025-2026,38,real madrid vs ath bilbao,2026-05-23,real madrid,ath bilbao,booking_pts,Total,50.5,0.2884,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,1X2,Total,,0.3776,1
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,Goles,Total,2.5,0.3463,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,corners,Total,7.5,0.6288,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,corners,Total,8.5,0.5045,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,corners,Total,9.5,0.3916,UNDER
