match_id,date,home_team,away_team,neutral,competition,season,stage,group,team_scope,team_type,competition_context,gender,provider,provider_match_id,fixture_id,kickoff_utc,kickoff_local,kickoff_local_date,kickoff_local_time,kickoff_user,kickoff_user_date,kickoff_user_time,kickoff_event,kickoff_event_date,kickoff_event_time,event_timezone,event_timezone_source,venue_name,venue_city,venue_country,status_short,status_long,status_bucket
espn:760448,2026-06-20T20:00:00+00:00,germany,cote d ivoire,1,FIFA World Cup,2026,Scheduled,,national,national_team,international_national_tournament,men,espn,760448,760448,2026-06-20 20:00 UTC,2026-06-20 22:00 CEST,2026-06-20,22:00 CEST,2026-06-20 22:00 CEST,2026-06-20,22:00 CEST,2026-06-20 16:00 EDT,2026-06-20,16:00 EDT,America/Toronto,explicit_event_timezone,BMO Field,Toronto,Canada,STATUS_SECOND_HALF,Second Half,live
espn:760446,2026-06-21T00:00:00+00:00,ecuador,curacao,1,FIFA World Cup,2026,Scheduled,,national,national_team,international_national_tournament,men,espn,760446,760446,2026-06-21 00:00 UTC,2026-06-21 02:00 CEST,2026-06-21,02:00 CEST,2026-06-21 02:00 CEST,2026-06-21,02:00 CEST,2026-06-20 19:00 CDT,2026-06-20,19:00 CDT,America/Chicago,explicit_event_timezone,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",USA,STATUS_SCHEDULED,Scheduled,scheduled
espn:760449,2026-06-21T04:00:00+00:00,tunisia,japan,1,FIFA World Cup,2026,Scheduled,,national,national_team,international_national_tournament,men,espn,760449,760449,2026-06-21 04:00 UTC,2026-06-21 06:00 CEST,2026-06-21,06:00 CEST,2026-06-21 06:00 CEST,2026-06-21,06:00 CEST,2026-06-20 22:00 CST,2026-06-20,22:00 CST,America/Mexico_City,explicit_event_timezone,Estadio BBVA,Guadalupe,Mexico,STATUS_SCHEDULED,Scheduled,scheduled
