provider,provider_match_id,fixture_id,match_id,date,fixture_timezone,venue_name,venue_city,venue_country,event_timezone,event_timezone_source,status_short,status_long,league_id,competition,tournament_name,unique_tournament_name,category,season,round,home_team_id,away_team_id,home_team,away_team,home_team_slug,away_team_slug,home_goals,away_goals,neutral,espn_uid,espn_competition_id,team_type,team_scope,competition_context,gender,kickoff_utc,kickoff_utc_date,kickoff_user_date,kickoff_user_time,kickoff_user,kickoff_event_date,kickoff_event_time,kickoff_event,kickoff_local_date,kickoff_local_time,kickoff_local
espn,760445,760445,espn:760445,2026-06-19T22:00:00+00:00,UTC,Gillette Stadium,"Foxborough, Massachusetts",USA,America/New_York,explicit_event_timezone,STATUS_FULL_TIME,Full Time,fifa.world,FIFA World Cup,FIFA World Cup,FIFA World Cup,World,2026,,580,2869,scotland,morocco,SCO,MAR,0,1,,s:600~l:606~e:760445,760445,national_team,national,international_national_tournament,men,2026-06-19 22:00 UTC,2026-06-19,2026-06-20,00:00 CEST,2026-06-20 00:00 CEST,2026-06-19,18:00 EDT,2026-06-19 18:00 EDT,2026-06-20,00:00 CEST,2026-06-20 00:00 CEST
espn,760444,760444,espn:760444,2026-06-20T00:30:00+00:00,UTC,Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,America/New_York,explicit_event_timezone,STATUS_FULL_TIME,Full Time,fifa.world,FIFA World Cup,FIFA World Cup,FIFA World Cup,World,2026,,205,2654,brazil,haiti,BRA,HAI,3,0,,s:600~l:606~e:760444,760444,national_team,national,international_national_tournament,men,2026-06-20 00:30 UTC,2026-06-20,2026-06-20,02:30 CEST,2026-06-20 02:30 CEST,2026-06-19,20:30 EDT,2026-06-19 20:30 EDT,2026-06-20,02:30 CEST,2026-06-20 02:30 CEST
espn,760443,760443,espn:760443,2026-06-20T03:00:00+00:00,UTC,Levi's Stadium,"Santa Clara, California",USA,America/Los_Angeles,explicit_event_timezone,STATUS_FULL_TIME,Full Time,fifa.world,FIFA World Cup,FIFA World Cup,FIFA World Cup,World,2026,,465,210,turkey,paraguay,TUR,PAR,0,1,,s:600~l:606~e:760443,760443,national_team,national,international_national_tournament,men,2026-06-20 03:00 UTC,2026-06-20,2026-06-20,05:00 CEST,2026-06-20 05:00 CEST,2026-06-19,20:00 PDT,2026-06-19 20:00 PDT,2026-06-20,05:00 CEST,2026-06-20 05:00 CEST
espn,760447,760447,espn:760447,2026-06-20T17:00:00+00:00,UTC,NRG Stadium,"Houston, Texas",USA,America/Chicago,explicit_event_timezone,STATUS_FULL_TIME,Full Time,fifa.world,FIFA World Cup,FIFA World Cup,FIFA World Cup,World,2026,,449,466,netherlands,sweden,NED,SWE,5,1,,s:600~l:606~e:760447,760447,national_team,national,international_national_tournament,men,2026-06-20 17:00 UTC,2026-06-20,2026-06-20,19:00 CEST,2026-06-20 19:00 CEST,2026-06-20,12:00 CDT,2026-06-20 12:00 CDT,2026-06-20,19:00 CEST,2026-06-20 19:00 CEST
espn,760448,760448,espn:760448,2026-06-20T20:00:00+00:00,UTC,BMO Field,Toronto,Canada,America/Toronto,explicit_event_timezone,STATUS_SECOND_HALF,Second Half,fifa.world,FIFA World Cup,FIFA World Cup,FIFA World Cup,World,2026,,481,4789,germany,cote d ivoire,GER,CIV,0,1,,s:600~l:606~e:760448,760448,national_team,national,international_national_tournament,men,2026-06-20 20:00 UTC,2026-06-20,2026-06-20,22:00 CEST,2026-06-20 22:00 CEST,2026-06-20,16:00 EDT,2026-06-20 16:00 EDT,2026-06-20,22:00 CEST,2026-06-20 22:00 CEST
espn,760446,760446,espn:760446,2026-06-21T00:00:00+00:00,UTC,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",USA,America/Chicago,explicit_event_timezone,STATUS_SCHEDULED,Scheduled,fifa.world,FIFA World Cup,FIFA World Cup,FIFA World Cup,World,2026,,209,11678,ecuador,curacao,ECU,CUW,0,0,,s:600~l:606~e:760446,760446,national_team,national,international_national_tournament,men,2026-06-21 00:00 UTC,2026-06-21,2026-06-21,02:00 CEST,2026-06-21 02:00 CEST,2026-06-20,19:00 CDT,2026-06-20 19:00 CDT,2026-06-21,02:00 CEST,2026-06-21 02:00 CEST
espn,760449,760449,espn:760449,2026-06-21T04:00:00+00:00,UTC,Estadio BBVA,Guadalupe,Mexico,America/Mexico_City,explicit_event_timezone,STATUS_SCHEDULED,Scheduled,fifa.world,FIFA World Cup,FIFA World Cup,FIFA World Cup,World,2026,,659,627,tunisia,japan,TUN,JPN,0,0,,s:600~l:606~e:760449,760449,national_team,national,international_national_tournament,men,2026-06-21 04:00 UTC,2026-06-21,2026-06-21,06:00 CEST,2026-06-21 06:00 CEST,2026-06-20,22:00 CST,2026-06-20 22:00 CST,2026-06-21,06:00 CEST,2026-06-21 06:00 CEST
