alias,canonical_player,notes
alvaro morata,alvaro borja morata martin,short lineup name to StatsBomb full name
álvaro morata,alvaro borja morata martin,accented short lineup name
morata,alvaro borja morata martin,common single-name alias; only safe with high-value manual alias
federico valverde,federico santiago valverde dipetta,short lineup name to StatsBomb full name
fede valverde,federico santiago valverde dipetta,common short form
f valverde,federico santiago valverde dipetta,initial plus surname
salem al-dawsari,salem mohammed al dawsari,hyphenated lineup name to StatsBomb full name
salem al dawsari,salem mohammed al dawsari,non-hyphenated alias
salem aldawsari,salem mohammed al dawsari,compacted surname variant
